uae_tweet_cleaned,translation_status,msa_translation
انا الحظيظ اللي بحبك تهني,not verified,أنا المحظوظ الذي يحبك تهنئة
خل اللي يبي يرحل يرحل ولا تهتم ان كان حضوره مهم ف كرامتك اهم,not verified,اترك من يرغب في الرحيل يرحل ولا تبال أو تهتم إن كان حضوره ضروريا فكرامتك هي المهمة
لا يغرك اني بالكلام استفزك عيونك الثنتين ما اقوي زعلها,not verified,لا يغرك أنني بالكلام استفزك عينيك الاثنتين ما أقوى غضبهما
واحسد عليك حتي نفسي واخشي يمسك غريب,not verified,وأنا أغبطك حتى أنا نفسي وأخشى أن يمسك بك غريب
عيونك تجبر الخاطر وحبك غالب الشاطر,not verified,عيناك تجعل القلب يتعب وحبك يسيطر على الأذكياء
امي ف الدقيقه الوحده خمسه وخمسين مره تقولي راجعي,not verified,أمي في الدقيقة الواحدة تقول لي ارجعي خمسة وخمسين مرة
اتحري شوفتك ومالي معك ميعاد اتخيلك في كل الاوقات واشتاقلك,not verified,أبحث عن لقائك وليس لدي موعد معك أتخيلك في جميع الأوقات وأشتاق إليك
عافك الخاطر ولا عاد بالقلب حسرات ذيك المعزه انت من ضيع قدرها,not verified,عافاك القلب ولم يبق حسرة في القلب على تلك المعزة أنت من أضاع قدرها
ليله لو باقي ليله,not verified,لو ستبقت ليلا
ما اذكر ف مره نسيتك ما تركتك ما خذيتك ما حزنت الا ولقيتك في خيالي,not verified,لا أتذكر أبدا أنني نسيتك لم أتركك ولم أأخذك ولم أحزن إلا ووجدتك في تخيلاتي
نبي سنابك نفداك انت,not verified,نحن نود ستسناب شات نضحك معك
صباحي انت وماغيرك يحلي الصبح بعيوني صباح الحبء,not verified,صباحك أنت وغيرك يحلي الصباح بعيوني صباح الحب
غيبتك ياروح روحي عذبت حالي,not verified,غيبتك يا روح روحي عذبت حالي
ما قويت النوم ولا خنت السهر كيف انام وكل ذكري صاحيه,not verified,لا أستطيع النوم بقوة ولا يمكنني السهر كيف أتمكن من النوم وكل ذكرى لي مستيقظة
واذا تعبتي انا بكمل صياح عنك,not verified,إذا تعبتي أنا سأكمل صياحا عنك
لو طلب لعيون يفدنه,not verified,لو طلب لأجل عيونه يقدم نفسه
انا سكوتي ذهب يوم القصايد كلام اهز بيض الورق ويطيح منها قصيد,not verified,أنا صمتي ذهب يوم القصائد كلام يرجف ورق الورق ويتساقط منها قصيدة
حبيبتك ولهت علي سوالفك حبيبي ماودك,not verified,حبيبتك ولهت علي سوالفك يا حبيبي ما ودك
يا قو قلبك علي الصده ويا صبرك ويا وسع صدري علي صدك ويا صبري,not verified,يا قوة قلبك على الصده ويا صبرك ويا وسع صدري على صدك ويا صبري
لا يغرك كثر اصحابك في الحياه بكره لا ضاقت الارض ماتلقي احد,not verified,لا تتأثر بعدد أصدقائك في الحياة فإن ضاقت الأرض فلن تجد أحدا
ياريت كل الايام نفس اليوم,not verified,يتمنى لي أن تكون كل الأيام مثل هذا اليوم
لا عيوني اسلوبج جلد وانتي رقيقه فقولت اكيد حسابج اتهكر صباحج سعاده عيون نرنوره,not verified,لا عيني طريقتك قاسية وأنت رقيقة فقلت بالطبع حسابك تم اختراقه صباحك سعيدة عيناي نور نورها
تعال شوف عيوني شكثر ودها تشوفك,not verified,تعال شاهد عيوني كم هي رغبتها بأن تراك
الاغلب متوتر من محمد صلاح وانا خايفه اكثر شي من فيرمينيو هاللاعب عفريت,not verified,الأغلب متوتر من محمد صلاح وأنا خائفة بشدة من فيرمينيو هذا اللاعب العفريت
كلوشش النصر لنا قالها بوخالد كلمه مراجيل,not verified,النصر كله لنا قالها أبو خالد بكلمة مراجل
علموني م ارقب حسابات شخص احبه عقب ايلس اصيح من الغيره,not verified,أرجوكم أعلموني كيف أرقب حسابات الشخص الذي أحبه بعد إيلس انفجار شديد من الغيرة
نافاس الله ياخدك,not verified,نعفوس الله يأخذك
برشلونه بضل يضيع فرص لحتي مدريد يسجل,not verified,برشلونة مازال يهدر فرص حتى يسجل ريال مدريد
اخباري فاقدك انت شخبار قلبك,not verified,أخباري بلاك كيف حال قلبك
الي عندهم نكته تموت من الضحك طرشولي ياها ابا اموت,not verified,إذا كان لديكم نكتة تجعلني أضحك حتى الموت فأرسلوها لي أرغب في أن أموت من الضحك
لا ها فندق ستي بريمرز الي ع شارع الشيخ زايد,not verified,لا هذا فندق ستي بريمرز الذي على شارع الشيخ زايد
علمنا كم بغيت تستلف بس,not verified,تعلمنا كم ترغب في الاقتراض فقط
شو بلاكم واحد اوف واحد اكرهكم,not verified,ما بالكم واحد على واحد أنا أكرهكم
ياليت المشاعر ترا ل يعرف كل ذي حق حقه,not verified,يا ليت الأحاسيس ترى لتعرف كل من له حقه
امين ولامهاتنا اجمعين يارب صح بوحج الغاليه,not verified,آمين وأمهاتنا العظيمات جميعا يا رب احفظ بوحج الغالية
ما انقرضوا اللي يكتبون,not verified,من لم ينقرض الذين يكتبون
جعل السحاب اللي معه برق ورعود يمطر علي دار وليفي سكنها,not verified,جعل السحاب الذي معه برق ورعود يمطر على دار سكني اللتي أسكنها
لو فالحه هي,not verified,إذا نجحت هي
يمكن الحب مايدوم زي الصداقه بس دائمافي شخص بحياتنا يجمع بين الحب والصداقهشخص نحب نستمر معاه اكثرمن اي شخص ثاني حتي لوعلاقتنامالها اسم,not verified,يمكن أن الحب لا يدوم مثل الصداقة لكن دائما يوجد شخص في حياتنا يجمع بين الحب والصداقة هذا الشخص الذي نحبه نستمر معه لفترة أطول من أي شخص آخر حتى لو كانت علاقتنا مختلفة عن الصداقة
اهم حاجه لا يصبح مثل كرت كوتينهو محروق ومكرر,not verified,أهم الأمور ألا يكون مثل كأس كوتينيو محرق ومكرر
والله في واحد اقرب في الوحده مول الطابق الارضي اخر محل علي يدك اليمين,not verified,والله هناك شخص واحد قريب في المبنى الأرضي للمركز التجاري وآخر المحلات على يدك اليمنى
الطريق اللي يوديني ل حضنه من وين امره,not verified,الطريق الذي يقودني إلى حضنه من أين أمره
الحين يا بلنتي وهدف بالحظ,not verified,الآن يا غبي وفشل بالحظ
حد دقك ع لحيتك وقالك سير حج,not verified,هناك شخص يطرق لحيتك ويقول لك انصرف يا حاج
نفسي اجمع الناس الي في تعليقات اليوتيوب و اسوي مدينه نعيش فيها كلنا,not verified,أود أن أجمع جميع الأشخاص الذين يتعلقون بتعليقات يوتيوب وأقيم مدينة نعيش فيها جميعا
سويت فيني شي لله درك حتي عدوي يستحي ما يسويه,not verified,ساءت تصرفاتني إن شاء الله إليك حتى عدوي يشعر بالخجل من فعل مثله
عنخيرهم اخيرا فتح بعد فوق العشر محاولات,not verified,عن خيرهم آخيرا فتح بعد فوق العشر محاولات
محد يموت من المفارق يا بعدي,not verified,لا أحد يموت من الفراق يا حبيبي
صباحح الوردد حبيي,not verified,صباح الورد حبيبي
مرفوق ماتنظر عيوني بدالك,not verified,مرفق لا تنظر عيناي بدل ذلك
طبعا من الحين اتريا الخميس,not verified,بالطبع من الآن أنتظر الخميس
انا تري حنيت لك,not verified,أنا أشتاق إليك
عيونها عالم ثاني ليتني اكونن فيها,not verified,عيناها عالم آخر ليتني أتمنى أن أكون فيها
يا واحد حبه لو اخفيه باين,not verified,يا فتى حبه لو أخفيته يظهر
ايمينكي واضح انه متعالي وماله نفس يلعب اما المنظومه الهجوميه فواضح ان اداء الاجانب والضعف الهجومي راح يكون واضح علي الفريق,not verified,أمينك واضح أنه متعال وماله نفس يلعب أما المنظومة الهجومية فواضح أن أداء الأجانب والضعف الهجومي سيكون واضحا على الفريق
يا ريت يرجع ساشيز,not verified,يا ليته يعود سعيدا
تنطقي المره اليايه اوكي حبي,not verified,تنطقي المرة القادمة حسنا يا حبيبي
ما تشرب و تسوق ارجع بتاكسي مجانا,not verified,لا تشرب ولا تسوق عندما تعود ارجع بتاكسي مجانا
ستار بوكس مستر كوبس,verified,ستاربكس السيد كوبس
يستوي احط ف ستوري سناب فيديو اكثر عن دقيقه,verified,يمكن ان اضع في قصتي بالسناب فيديو اكثر من دقيقة
بردت قهوتنا وناموا اهل الحي ونام الليل فوق مخدات نجومه وعيوني تتخيل خيل تحملي منك اخبار,not verified,تمت تبريد قهوتنا ونم أهل الحي ونام الليل فوق مخدات نجومه وعيناي تتخيل خيولا تحمل أخبارا منك
ابحتفظ فيك وادري منت نافعني يمكن مع الوقت اقول محبتك خيره,not verified,أحتفظ بك وأعلم أنك لا تفيدني ربما مع الوقت أقول أن حبك خير لي
نخاوي الناس بالقلب النظيف مانطلب القرب لجل المصلحه,not verified,نرغب في محبة الناس بقلوب نقية ولا نطلب الاقتراب ما لم يكن لأجل المصلحة
— مب من الدوله هذا الي انا متاكد منه و ما ادري لو يبيعون نفسها هني,not verified,— لست متأكدا من الحكومة هذه ولا أعلم ما إذا كانت ستبيع نفسها هنا
صح اني اكتب عن الفقد والغياب لكني ما ارتجي رجعت احد,not verified,صحيح أنني أكتب عن الفقد والغياب لكنني لا أتوقع عودة أحد
الغافي علي صوتك شلون مايصحي سعيد,not verified,الشخص الذي لا يستجيب لصوتك كيف لا يستيقظ سعيد
انا شو تبيني اقول,not verified,أنا ماذا تريدني أن أقول
قل للعيون اللي تمناك تبطي ما من احد يقربك وانت لي,not verified,قل للعيون التي تتوق إليك تتأخرين لا أحد يقرب منك أثناءما أنت لي
حي الصباح اللي يجيبك علي البال ياغايب ماغاب طيفك وطاريك,not verified,مرحبا الصباح للذي يذكرك في البال يا غائب لم يغب ظلك وأمرك
هيه طبعا الحمدلله,not verified,هيه بالتأكيد الحمد لله
ابي اعيش بدون قلب لاني تعبت منه,not verified,أرغب في العيش بدون قلب لأنني تعبت منه
مرحبا اصحاب الواحده فجرا وش مسهركم,not verified,مرحبا أيها الأصدقاء في الواحدة فجرا ما هي مسهرتكم
لا فادني صمتي ولا فاد الكلام,not verified,لا يجديني صمتي ولا يجد الكلام
يا ريت تحفزون لدورينا كما تحفزون للانديه الموجوده في الخارج,not verified,يا ليتكم تحفزون لدورينا كما تحفزون للأندية الموجودة في الخارج
انتصباحي لوعيونكغافيه صباح الخير,not verified,صباحك الخير
تعيش وتذكر حروفي وسطر ن كد كتبناه به الاحساس مرظوفي وشوق ن رافقه ااه دوا النسيان موصوفي لمن يتعذر لقاه بتتعرف وبتشوفي هني ثم ن معاناه مسير الحب معروفي اذا ما طول مداه يغير اوهام وحسوفي ووهم ن كم تبعناه,not verified,تعيش وتتذكر حروفي وسطوري نحن الذين كتبناها بالإحساس المرتب وشوق يرافقه ألم النسيان المفصل من لا يستطيع لقاؤه يتعرف عليه ويشاهده هنا ثم يشعر بمعاناتنا مسيرة الحب معروفة إذا لم يطول زمنه يغير أوهامنا وأحاسيسنا تلك هي الوهم التي تبعناها
وبدل الدفاع عن قطر كان المفروض تعتذر للاماراتيين علي كلامك بزاد الهمز واللمز مب تبرر غفلتك يا مغفل,not verified,وبدلا من الدفاع عن قطر كان يجب أن تعتذر للإماراتيين عن كلامك المحقر والمسيء بدلا من محاولة تبرير غفلتك يا جاهل
ياليت لو فيني اوصي الدنيا عليك,not verified,ياكنت أود لو كان بإمكاني أن أطلب العالم برمته على تعليمك
اكتبها زين اول,not verified,اكتبها جيدا أولا
ودي اعاتبك لكن وش حيلتي لا صرت ماهمك,not verified,أرغب في انتقادك ولكن ما هو حاصلي إذا أصبحت لا تهتم
حتي لو ان شوفته ماهي بمكتوبه ب اتوهم عشان اعيشها باوهامي,not verified,حتى لو شاهدتها لا تكون مكتوبة بوضوح أحاول استدلالها لأعيشها بخيالي
مرني ب رسالہ انا جدا مشتاق طال غيابك وقصرت مواصيلك العمر انت و معني الحياه قربك بكل شوق الارض ابي ضمه يديك غيرك كثير بس مامثلك احد ليتك تدري شكثر انا اكره سكوتك انا الوافي لقلبك وانا الدايم لك ذكرياتك م تنسي لؤ طال لوقٺ لكثير اشياء ذكرتني فيك و الاساس م نسيتك,not verified,مرني برسالة أنا جدا مشتاق لطول غيابك وقصرت مواصيلك العمر أنت ومعنى الحياة قربك بكل شوق الأرض تطلبك باستمرار أبي أضم يديك غيرك كثير ولكن لا مثيل لك ليتك تعلم كم أكره صمتك أنا الوافي لقلبك وأنا الدائم لك في ذكرياتك لا تنسى أبدا طول الوقت الذي أمضيته معك ذكرتني بكثير من الأشياء والأساس أنني لم أنساك
حظ من صبحه بوجهك يبتدي,not verified,حظه يبدأ من صبحه بوجهك
اخاف تروح مني ابقي انا لمن,not verified,أخشى أن ترحل عني فابق أنا لأجلي
صدفه عرفتج و محلاها من صدفه,not verified,صدفة عرفتك و محلاها من صدفة
الواقع يقول جيه,not verified,الحقيقة تقول جيه
صح لسانك يالخوي,not verified,صح لسانك يا أخي
بعد سنه اذا ماتزوجت بروح شهر العسل ويا ربعي,not verified,بعد سنة إذا لم أتزوج سأذهب في رحلة شهر العسل مع أصدقائي
ي حلاه ليل يمليه صوتك,not verified,يا حلاه الليل الذي يملأه صوتك
تظن دنيا بتوقف ليا اقفيت,not verified,تعتقد الدنيا أنها ستتوقف إذا أوقفت
قفز الارنب خاف الارنب كنت قريبا منهو العب,not verified,قفز الأرنب وخاف الأرنب كنت قريبا منه وأردت أن ألعب معه
وين مكان التبرع اللي يبا يتبرع,not verified,أين موقع التبرع الذي يرغب في التبرع
حتي الماركا قالو هدف صحيح لاياكس بس المدريدين صعب يعترفون,not verified,حتى المشجعون المدريديون قالوا هدفا صحيحا لصالح أياكس لكن المدريديين يجدون صعوبة في الاعتراف
ان غبت تلقاني علي البعد مغليك و ان جيت تبقي مثل ماكنت غالي,not verified,إن غبت ستجدني على البعد محبا لك وإن جئت ستبقى كما كنت غاليا
قريب راح يصير ب,not verified,قريب سوف يحدث
كم لي المح لك ابيك بجنونك,verified,كم لمحت لك انني أرغب فيك بجنون
محد بالغلا يساويه و هو ادري,not verified,لا أحد بالغالا يساويه و هو يعلم
احسك مني مليت,not verified,أشعر بمللك مني
الله علي الشعور اللي تحس فيه ان نفسك طابت من كل حاجه مافي شيء يهمك غير راحه بالك,not verified,الله على الشعور الذي تشعر به أن نفسك استراحت من كل شيء لا يهمك سوى راحة عقلك
اذا ماتدرون ذي احلامي اللبس هالفستان واحتفل بالنيو يير وتكون ليله طويله انبسط فيها بكل مافيني,not verified,إذا لا تعلمون هذا من أحلامي أرتدي هذا الفستان وأحتفل بالنيو يير وتكون ليلة طويلة أستمتع فيها بكل ما في داخلي
لونك عفر واليادل اسمر معزل الردفين من الحيب لاحص لا ياقوت لا در كل الغوي خذته بترتيب,not verified,لونك أبيض ويديك بنية طويل القامة مشع من الحيب إلى اللحية كل الأغاني كأنها جوهر وياقوت وكل الكلمات مرتبة بتفاصيلها
منن اول نظرهه طحت ب غرامه,not verified,من النظرة الأولى وقعت في حبها
اغارر ععلييه وغغييرتي ياععرب شينه,not verified,أغار عليه وغيرتي يا عرب شيئا
احلا حماره اصلا,not verified,أجمل حمارة على الإطلاق
الصراحه مليت منكم,not verified,الصراحة تعبت منكم
العين مايغدي بها كل براق و الاذن ماكل حكي ترتخي له,not verified,العين لا تغدو فيها كل براق والأذن لا تتراخى لكل حكي
اشتاق م حنيت,not verified,اشتقت منية
منوره بالي فيها,not verified,منورة بما فيها
ما علي البايع حسايف,not verified,لا يزال على البائع جماعة أواصر
افا كنت متحمسه,not verified,أوه كنت متحمسة
فيه ناس لازم الكلب يرفع عليهم قضيه انتحال شخصيه,not verified,فيه أشخاص يجب أن يقدم عليهم الكلب قضية انتحال شخصية
نعرف نلعب علي الحبلين لكن قلوبنا ماهي برديه,not verified,نحن نعرف كيف نلعب بالحبلين ولكن قلوبنا ليست باردة
الحين لا مشاعر ميته وقلب ميت,not verified,الآن لا مشاعر ميتة ولا قلب ميت
مايفهمك غير قلبي وباقي الناس مايفهمونك,not verified,لا يفهمك إلا قلبي وبقية الناس لا يفهمونك
انا طموحي للثقال من النوادر يالخفيف مانيب عمله ماينعرف صرافها,not verified,أنا طموحي الى التفوق والتميز يا أيها العزيز الذي لا يدرك مقدار قسوة هذا العمل والتحديات التي تصاحبه
هفهمك انا زيك بالظبط,not verified,سوف أفهمك أنا مثلك تماما
مزاجي حاليا مزاج اللي يعزفون في تايتنك وهي تغرق ̮,not verified,حالتي الآن مثل حالة الذين يعزفون في تايتنك أثناء غرقها
مابي ازعجه يمكن مع غيري حياته اجمل,not verified,أنا لا أرغب في إزعاجه ربما مع غيري ستكون حياته أجمل
اي اشوفها واقول شكلها ماسوت تحديث,not verified,عندما أراها أقول إن شكلها لم يتغير
حبيبي يا صاصا والله وانتا اكتر يا حبيبي والله,not verified,عزيزي يا صاصا والله أنت أكثر يا عزيزي والله
لذلك قام بيريز بالتعاقد معه في هذا الوقت وهو يعلم بانه سيقال وبالتالي سيوفر بيريز دفع الشرط الجزائي في عقد المدرب مع الاتحاد الشغله مش صدفه,not verified,لذلك قام بيريز بالتعاقد معه في هذا الوقت وهو يعلم بأنه سيقال وبالتالي سيوفر بيريز دفع الشرط الجزائي في عقد المدرب مع الاتحاد الشغلة ليست صدفة
صحيح الزمن ما انصفني كثير بس علمني اكون بكل شيء كبير,not verified,صحيح الزمن لم ينصفني كثيرا لكنه علمني أن أكون عظيما في كل شيء
انت بس قول مو هذا الي استغل طيبتك,not verified,أنت فقط قل مو هذا الذي يستغل طيبتك
امووت واعرف شو قصدك,not verified,أنا أموت وأريد أن أعرف ما هو قصدك
امطرت ديرتي وتحلت بالجمال ريحه مطر وغيم جمل سماها,not verified,أمطرت بلدي وتحلى بالجمال رائحتها مطر وسحابة جميلة سماها
كابتن امريكا وكابتن بريطانيا وبعدين كابتن ايطاليا وكابتن البرازيل كاس العالم مب سوبر هيرو,not verified,الكابتن الأمريكي والكابتن البريطاني وبعدهم الكابتن الإيطالي والكابتن البرازيلي كأس العالم ليس مجرد سوبر هيرو
خلني م عاد في قلبي معاتب من متي يعني وجع قلبي يهمك,not verified,دعني الآن لا يوجد في قلبي أي توتر منذ متى تعني وجع قلبي يهمك
واليا ابتسمت ضعت بالحسن الكثير اطالعك واتاملك واقول يا حظي انا,not verified,ويا ليتني ابتسمت لقد تائهت في جمالك الكثير أنظر إليك وأتأملك وأقول يا حظي أنا
هيه نعم هو تقدر تشوف مقاطعه علي الانستغرام,not verified,نعم بالطبع يمكنك أن تشاهد محتواه على انستغرام
مصدومه بجد و مش بنطق,not verified,مصدومة حقا ولا أستطيع التعبير
حبيبتي مني اسف واحبك ليه مافي علاقه كره مثل ما فيه علاقه حب يعني اكرهك وتكرهني و اغار لو حد كرهك اكثر مني,verified,حبيبتي أنا لست آسف وأحبك لكن لماذا لا يوجد علاقة كره مشابهة للعلاقة الحب يعني أنا أكرهك وأنت تكرهيني وأشعر بالغيرة إذا كان أي شخص يكرهك أكثر مني
الملل قاعد بحضني ويقولي انت حقي لحالي,not verified,الملل عالق ويغمرني ويقول لي إنك أنت فقط لي
لا خلا ولا عدم عندكم اخت ججيي,not verified,لا خلا ولا عدم لديكم أخت جميلة
صباح ال هلا بك يا نسم روحي ويالبيه في قلب م اعترف بالحب من قبلك,not verified,صباح الخير أهلا بك يا نسيم روحي وياللهفة الجميلة في قلبي أنا لم أعترف بالحب من قبل وحتى أنتظره بفارغ الصبر
لكن صصدق تمصصخرت,not verified,لكن صدق تمصخرة
طلبي الوحيد لايقربون منك خليك ثقيل بعيونهم وطفل بعيوني,not verified,طلبي الوحيد هو ألا يقتربوا منك فابق ثقيلا في أعينهم وطفلا في عيني
لا عاد تخسي حبيبي,not verified,لا تتخسى حبيبي
م في احد يبقي معك طول الطريق حتي ظلك يسحب عليك بعد العصر ̮,not verified,لا يوجد أحد يظل معك طوال الطريق حتى الظل ينقص عليك بعد العصر
ناس تدري عن غلاها لكن اعماها التغلي,not verified,الناس تعرف عن غلاها لكن طمستها الغلو
هاتو الثالث وريحونا خلوني اداوم باجر مرتاحه,not verified,أعطوني الثالثة ودعونا دعوني أستكمل يوم الغد براحة
موزا تقول ان حريم قطر وساع جيه,not verified,موزا تقول أن حريم قطر وساع جائعة
حياتي هلا حبيبي شرايج نرجع نفس قبل شلون لا اعرفج ولا تعرفيني,not verified,حياتي الآن حبيبي كيف يمكننا أن نعود إلى ما كنا عليه قبل لا أعرفك ولا تعرفيني
وغلاتكمنعرفتكماعادليخاطرباحدغيرك,not verified,وإعترفت لك أنك أعدل من يخاطر بغيركم
ابي عذر يسمعني صوتك,not verified,أرجو عذرا لكنني أرغب في سماع صوتك
حظي كل ماقام جاته دوخه ورجع جلس شكل فيه فقر دم,not verified,حظه كلما قامت جاءته دوخة وعاد جلس وظهرت عليه علامات فقر الدم
بغيابه روحي حيرانه,not verified,بغيابه تشعر روحي بالحيرة
وعلي قربي م جبرت احد,not verified,وعلى قربي ما جبرت أحد
ي انه في خاطري كلام,not verified,أيها إنه في ذهني كلام
لا تكابر و انت لا مرك اسمي ضلوعك تصافق بعضها,not verified,لا تتكبر وأنت لست مركز اسمي ضلوعك تتصافح بعضها
كلام الحق ييزعل,not verified,الحق يزعج يغضب
يطول ما لارام غيره يطوله احزام شعبه بالرخا والشدايد يرقي ونرقي معه شعب ودوله ويبقي ونبقي معه جند وقايد محمد بن زايد,not verified,يطول ما ليس له رام غيره يطوله أحزام شعبه بالرخاء والشدائد يرقى ونرقى معه شعب ودولة ويبقى ونبقى معه جند وقائد محمد بن زايد
والنهايهولاشخص راح يظل معك,not verified,وفي النهاية لا أحد سيبقى معك
محترف العين اليديد ياسين الغناسي يشبه العقرب ايمرسون شكلا اتمني من كل قلبي ان يكون مثله روحا ولعبا مبروك الصفقه,not verified,المحترف الجديد لنادي العين ياسين الغناسي يشبه العقرب إيمرسون شكلا أتمنى بكل قلبي أن يكون مثله في الروح والأداء مبروك على الصفقة
اكثر شي تغريده الصباح اهم شي,not verified,أهم شيء تغريدة الصباح هو الأهم
و انا بس شسم الاغنيه و طرشيلي الفيد,not verified,وأنا فقط ما اسم الأغنية وأرسل لي الفيديو
انته شال التلفون شوو,not verified,أين أنت أيها الشخص الذي استولى على الهاتف
غيرتك الايام عليي وانا اللي حبيتك,not verified,تغيرت علي أيامك وأنا الذي أحببتك
قد نجم السما جروحي حرام عليك,not verified,قد تنبعث الألم من جروحي وهذا أمر غير مقبول منك
حاظر ولو انك عن العين غايب طيفك ترا قدام عيني واداريه,not verified,موجودة ولو أنك غائب عن البصر ظلك يظهر أمام عيني وأقترب منه
لما تشوف كل الدنيا ب شخص واحد,not verified,عندما ترى كل العالم بشخص واحد
الله يريح كل قلب بداخله احساس مو قادر يتحمله ولا يشرحه لاحد,not verified,الله يريح كل قلب في داخله شعور لا يستطيع تحمله ولا يشرحه لأحد
تعال تعال من انت,not verified,تعال هنا من أنت
نحن مدربينا اعتقد لاعبين كره سله مب كره قدم,not verified,نحن مدربونا نعتقد أننا لاعبي كرة سلة وليس لدينا لاعبي كرة قدم
لي زمن ماقلت احبك,not verified,لي وقت لم أعبر عن حبي لك
ممكن حدا يبعثلي صور للممر الشرفي ما لحقته,not verified,من فضلك يمكنك أن ترسل لي صورا للممر الشرفي الذي لم أتمكن من رؤيته
فيهم خنث والله دوده ف فقحتهم,not verified,هناك منهم من هو خنث والله عجيبة هذه العصابة
قربه بس يكفيني ليته دايم قبالي,not verified,قربه لكن يكفيني ليته يكون دائما أمامي
انا شلي دخلني بهالدوامه,not verified,أنا شلي دخلني بهذه الدوامة
كل الناس مجروحه ماتدري من الخاين شكلي انا,not verified,كل الأشخاص مجروحون ولا يعرفون من الخائن شكلي أنا
كل ن علي ليلاه يا صاحبي غني وانا لجل عيناك اخضعت القصيد ولو ان قلبي في هواكم تعني باقطع علي شانك من الاشواق بيد مو مهم منو علي الثاني تجني الحب نعمه ما يحس بها بليد ما يدرك الانسان كل اللي تمني تبقي المعزه لو المسافه بعيد انتخي وصلك وقلبك ما تاني شط بي وكان في وصلي زهيد,not verified,كلما عليه ليلاه يا صاحبي غني وأنا لأجل عيناك أليت القصيد ولو أن قلبي في هواك يتعنى باقطعت علي شانك من الأشواق بيدي ما مهم من هو الثاني الذي ينال الحب فهو نعمة لا يحس بها البليد ولا يفهم الإنسان كل ما تتمناه ولتبقى المعزة ولو كانت المسافة بعيدة وجهدت لك وقلبك ليس مصحبا لي فأنا أشطب بك وكان كثيرا في وصلي مجاهدا
حسافه يكون سبب حزنك نفسه الي قال لك بيوم ما عاش الي يزعلك,verified,يا للأسف أن يكون سبب حزنك هو نفس الشخص الذي قال لك يوما ما أنه لا يرغب في إيذائك
كفو عليك يا حاتم,verified,تستحق الثناء يا حاتم
الحساب الرسمي ل ريال مدريد تحت سيطره الهكر باين فيكم النقص عيال الكاتلونيه,not verified,الحساب الرسمي لريال مدريد تحت سيطرة الهاكر يبدو أنكم تعانون من النقص أيها الأطفال الكتلونيين
بلغ طيوفك ليا من غبت ترحمني مالي ومال الشقا ومعابل طيوفك,not verified,أبلغ طيبتك لي عندما تغيب ترحمني وتسعفني من الضيق ومعاناتك
اشم ريحه فازلين شكله بدا عيد الحب,not verified,أشم رائحة الفازلين يبدو أن عيد الحب قد بدأ
تحس ان نفسك عافت كل شي كان يسعدك لانك انكسرت من شي واحد يسعدك بشكل كبير احين تبا تمر عليك الايام بهدوء بس,not verified,تشعر بأن نفسك عافت من كل شيء كان يسعدك لأنك انكسرت من شيء واحد يسعدك كثيرا والآن عندما تبلغنا الأيام بسكون فقط
ساعات الواحد يحس انه حيل اسف ل نفسه,not verified,ساعات يشعر الشخص بأنه يشعر بالأسف الشديد لنفسه
كله من ورا قلبي م يحب الا خناقه,not verified,كله يأتي من وراء قلبي الذي لا يحب سوى المشاكل
والله اني ما ارتجي غيرك وليف جعلني من زين وجهك ما اخلا,not verified,والحقيقة أنني لا أطمح إلا إليك وليف يا من جعلتني أجمل مظهرا لكلون وجهك
سيف اريد ازق — سير زق انزين,not verified,سيف أريد أن أذهب إلى الأزقة — ساتجول في الأزقة بشكل جيد
لاتخلي شخص غيري يملي وقتك,not verified,لا تسمح لشخص آخر يملأ وقتك
هسه حسيت بحينيني جاي تسال انا ويني,not verified,حاليا شعرت بالغرابة قادما لتسأل أين أنا
راموس الوحيد اللي يعرفه له,not verified,راموس هو الوحيد الذي يعرفه له
اطيب اريشه و نيوتالي,not verified,الأطيب أريشة والناعمة
اشرب اشرب شاي,not verified,اشرب اشرب الشاي
من اول ما عرفته و الضلوع تجر له موال ولا ادري نيته بضلوع صدري وش تواليها,not verified,منذ أن عرفته أول مرة والضلوع تجر له موال ولا أدري نيته في ضلوع صدري وماذا تتبعها
تدري من اللي يستحق المحبه اللي يداري خاطرك وانت ضايق,not verified,هل تعرف من يستحق الحب الشخص الذي يحمي مشاعرك وأنت في ضيق
صباح الخير مره ثانيه تهزانا اليوم ف ال و نحن ما يخصنا,not verified,صباح الخير مرة ثانية تهزنا اليوم في الوقت الحاضر ونحن لسنا معنيين بهذا
حبيتكلدرجهاشوفك باغنيه وتخيلك بقصيده,not verified,أحببتك حتى أراك في كل أغنية وأتخيلك في قصيدة
اسمك لحاله بالعرب نوماس لا قالوا اسمك يستريح الذيب من كثر ماهمك هموم الناس ما الوم راسك لو كساه الشيب ابوي,not verified,اسمك بنفسه باللهجة العربية المعيارية هو نسمة إن قالوا اسمك سيستريح الذئب بسبب الكثير من متاعب الناس التي تشغلك لا ألوم رأسك لو تلبسه صبغة الشيب أبي
انت خير عمري اللي اقصده في كل مساء مسائي انت ي اللي حبيت الدنيا فيك,not verified,أنت أغلى شخص في حياتي الذي أفكر به في كل مساء أنت الذي جعلتني أحب الحياة بوجودك
في بنت صورت سناب و مالعبت بشعرها ماتت,not verified,في فتاة التقطت صورة على سناب شات ولم تلعب بشعرها فماتت
والله مش طبيعي,not verified,والله غير طبيعي
